timestamp,crash_mult,trigger,mode,p1_result,p2_result,round_pnl,session_pnl,cumulative_pnl
2026-05-09 20:22:03,6.08,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:22:20,1.90,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:22:39,1.96,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:23:02,3.60,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:23:26,1.08,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:23:39,1.49,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:23:50,1.14,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:24:05,1.64,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:24:16,1.16,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:24:30,1.52,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:24:41,1.19,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:25:10,4.99,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:25:32,2.99,0,watch,-,-,0.00,0.00,0.00
2026-05-09 20:26:19,23.02,1,watch,-,-,0.00,0.00,0.00
2026-05-09 20:26:29,1.07,0,bet,loss,loss,-2.00,-2.00,-2.00
2026-05-09 20:26:47,2.19,0,bet,loss,loss,-3.83,-5.83,-5.83
2026-05-09 20:26:59,1.23,0,bet,loss,loss,-4.81,-10.64,-10.64
2026-05-09 20:27:17,2.01,0,bet,loss,loss,-6.05,-16.69,-16.69
2026-05-09 20:27:31,1.55,0,bet,loss,loss,-7.65,-24.34,-24.34
2026-05-09 20:27:54,3.24,0,watch,-,-,0.00,0.00,-24.34
2026-05-09 20:28:04,1.04,0,watch,-,-,0.00,0.00,-24.34
2026-05-09 20:28:50,21.44,1,watch,-,-,0.00,0.00,-24.34
2026-05-09 20:29:28,11.19,1,bet,win,win,29.59,29.59,5.25
2026-05-09 20:30:08,12.79,1,watch,-,-,0.00,0.00,5.25
2026-05-09 20:30:18,1.05,0,bet,loss,loss,-2.00,-2.00,3.25
2026-05-09 20:30:33,1.65,0,bet,loss,loss,-3.83,-5.83,-0.58
2026-05-09 20:30:53,2.38,0,bet,loss,loss,-4.81,-10.64,-5.39
2026-05-09 20:31:23,5.95,0,bet,loss,win,4.63,-6.01,-0.76
2026-05-09 20:31:44,2.70,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:31:57,1.37,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:32:17,2.48,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:32:40,3.18,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:33:01,2.74,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:33:19,2.07,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:33:29,1.07,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:33:46,1.85,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:34:13,4.18,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:34:32,2.43,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:34:44,1.27,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:34:53,1.00,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:35:03,1.02,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:35:17,1.62,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:35:31,1.49,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:35:45,1.51,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:36:13,4.77,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:36:28,1.56,0,watch,-,-,0.00,0.00,-0.76
2026-05-09 20:36:41,1.42,0,watch,-,-,0.00,0.00,-0.76
