timestamp,crash_mult,trigger,mode,p1_result,p2_result,round_pnl,session_pnl,cumulative_pnl
2026-05-09 19:07:34,5.62,0,watch,-,-,0.00,0.00,0.00
2026-05-09 19:08:09,2.81,0,watch,-,-,0.00,0.00,0.00
2026-05-09 19:09:03,13.20,1,watch,-,-,0.00,0.00,0.00
2026-05-09 19:09:14,1.29,0,bet,loss,loss,-2.00,-2.00,-2.00
2026-05-09 19:09:26,1.22,0,bet,loss,loss,-2.00,-4.00,-4.00
2026-05-09 19:09:53,4.46,0,bet,loss,win,0.83,-3.17,-3.17
2026-05-09 19:10:17,3.34,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:10:49,6.92,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:11:14,3.65,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:11:37,3.20,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:11:50,1.34,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:12:04,1.46,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:12:24,2.45,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:12:47,3.03,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:13:03,1.86,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:13:16,1.41,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:13:48,6.24,0,watch,-,-,0.00,0.00,-3.17
2026-05-09 19:14:15,4.31,0,watch,-,-,0.00,0.00,-3.17
